performance_id, performance_name
1973128, Merrily We Roll Along
1973129, Merrily We Roll Along
1973133, Merrily We Roll Along
1973134, Merrily We Roll Along
1973135, Merrily We Roll Along
1973136, Merrily We Roll Along
1973137, Merrily We Roll Along
1973138, Merrily We Roll Along
1973139, Merrily We Roll Along
1908916, The Notebook - The Musical
1908915, The Notebook - The Musical
1908828, The Notebook - The Musical
1908840, The Notebook - The Musical
1908829, The Notebook - The Musical
1908830, The Notebook - The Musical
1908831, The Notebook - The Musical
1908841, The Notebook - The Musical
1908908, The Notebook - The Musical
1908906, The Notebook - The Musical
1908932, The Notebook - The Musical
1908959, The Notebook - The Musical
1908937, The Notebook - The Musical
1908872, The Notebook - The Musical
1942767, Cabaret at the Kit Kat Club
1942695, Cabaret at the Kit Kat Club
1942696, Cabaret at the Kit Kat Club
1942705, Cabaret at the Kit Kat Club
1942769, Cabaret at the Kit Kat Club
1947976, Lempicka
1947979, Lempicka
2035702, Lempicka
1948070, Lempicka
2035703, Lempicka
1947954, Lempicka
1947977, Lempicka
1948016, Lempicka
1948018, Lempicka
1948019, Lempicka
1948021, Lempicka
1948020, Lempicka
1947924, Lempicka
1947923, Lempicka
1948022, Lempicka
1947926, Lempicka
1948023, Lempicka
1949972, The Outsiders
1949982, The Outsiders
1949973, The Outsiders
1949974, The Outsiders
1949983, The Outsiders
1949984, The Outsiders
1949986, The Outsiders
1949988, The Outsiders
1949985, The Outsiders
1949987, The Outsiders
1949990, The Outsiders
1949989, The Outsiders
1949991, The Outsiders
1949453, The Wiz
1949454, The Wiz
1949455, The Wiz
1949456, The Wiz
1949458, The Wiz
1949439, The Wiz
1949440, The Wiz
1949441, The Wiz
1949442, The Wiz
1949486, The Wiz
1949487, The Wiz
1949443, The Wiz
1955303, The Wiz
1955298, The Wiz
1957379, An Enemy of the People
1957366, An Enemy of the People
1957367, An Enemy of the People
1957344, An Enemy of the People
1957369, An Enemy of the People
1957370, An Enemy of the People
1957372, An Enemy of the People
1957346, An Enemy of the People
1958306, An Enemy of the People
1966858, Suffs
1973830, Suffs
1966859, Suffs
1966860, Suffs
1966826, Suffs
1966793, Suffs
1973831, Suffs
1966789, Suffs
1973832, Suffs
1966790, Suffs
1966730, Suffs
1966731, Suffs
1973833, Suffs
1966732, Suffs
1966733, Suffs
1966734, Suffs
1966791, Suffs
1966792, Suffs
1966807, Suffs
1966991, Mary Jane
1967011, Mary Jane
1967014, Mary Jane
1967022, Mary Jane
1966981, Mary Jane
1967021, Mary Jane
1967018, Mary Jane
1967012, Mary Jane
1967013, Mary Jane
1967015, Mary Jane
1966994, Mary Jane
1967017, Mary Jane
1967019, Mary Jane
1972584, Mary Jane
1972585, Mary Jane
1972366, Uncle Vanya
1972355, Uncle Vanya
1972356, Uncle Vanya
1972358, Uncle Vanya
1972404, Uncle Vanya
1972405, Uncle Vanya
1972367, Uncle Vanya
1972368, Uncle Vanya
1972369, Uncle Vanya
1972406, Uncle Vanya
1972407, Uncle Vanya
1972408, Uncle Vanya
1973400, Hells Kitchen - The Musical
1973401, Hells Kitchen - The Musical
1973402, Hells Kitchen - The Musical
1973403, Hells Kitchen - The Musical
1973404, Hells Kitchen - The Musical
1973462, Hells Kitchen - The Musical
1973405, Hells Kitchen - The Musical
1973406, Hells Kitchen - The Musical
1973407, Hells Kitchen - The Musical
1973408, Hells Kitchen - The Musical
1973409, Hells Kitchen - The Musical
1973410, Hells Kitchen - The Musical
1973411, Hells Kitchen - The Musical
1973412, Hells Kitchen - The Musical
1973413, Hells Kitchen - The Musical
2029446, Illinoise
2039659, Illinoise
2039644, Illinoise
2039660, Illinoise
2039075, Illinoise
2029447, Illinoise
2039076, Illinoise
2039661, Illinoise
2039662, Illinoise
2029451, Illinoise
2039663, Illinoise
2029448, Illinoise
2039664, Illinoise
2039700, Illinoise
2029449, Illinoise
2039701, Illinoise
2039665, Illinoise
2039666, Illinoise
