event_name, event_url, event_venue, event_category
American Ballet Theatre, https://www.hellotickets.co.uk/us/new-york/concerts/american-ballet-theatre-tickets/223342, Metropolitan Opera at Lincoln Center, Concerts
Pearl Jam, https://www.hellotickets.co.uk/us/new-york/concerts/pearl-jam-tickets/231537, Madison Square Garden, Concerts
Back To The Future, https://www.hellotickets.co.uk/us/new-york/theatre/back-to-the-future-tickets/231838, Winter Garden Theatre  New York, Theatre
Lindsey Stirling, https://www.hellotickets.co.uk/us/new-york/concerts/lindsey-stirling-tickets/241310, Radio City Music Hall, Concerts
Six The Musical, https://www.hellotickets.co.uk/us/new-york/theatre/six-the-musical-tickets/244835, Lena Horne Theatre, Theatre
MJ - The Life Story of Michael Jackson, https://www.hellotickets.co.uk/us/new-york/theatre/mj-the-life-story-of-michael-jackson-tickets/249348, Neil Simon Theatre, Theatre
Harry Potter and the Cursed Child, https://www.hellotickets.co.uk/us/new-york/theatre/harry-potter-and-the-cursed-child-tickets/262882, Lyric Theatre - New York, Theatre
Mary J. Blige, https://www.hellotickets.co.uk/us/new-york/concerts/mary-j-blige-tickets/269812, Barclays Center, Concerts
Iron Maiden, https://www.hellotickets.co.uk/us/new-york/concerts/iron-maiden-tickets/272975, Prudential Center, Concerts
US Open Tennis 2024, https://www.hellotickets.co.uk/us/new-york/sports/us-open-tennis-championship-tickets/274042, Arthur Ashe Stadium, Sports
HBCU New York Football Classic: Morehouse vs. Howard, https://www.hellotickets.co.uk/us/new-york/sports/hbcu-new-york-football-classic-morehouse-vs-howard-tickets/277898, MetLife Stadium, Sports
Diljit Dosanjh, https://www.hellotickets.co.uk/us/new-york/concerts/diljit-dosanjh-tickets/291109, Prudential Center, Concerts
Kimberly Akimbo, https://www.hellotickets.co.uk/us/new-york/theatre/kimberly-akimbo-tickets/300245, Booth Theatre, Theatre
& Juliet, https://www.hellotickets.co.uk/us/new-york/theatre/juliet-tickets/305857, Stephen Sondheim Theatre, Theatre
Gabriel Iglesias, https://www.hellotickets.co.uk/us/new-york/concerts/gabriel-iglesias-tickets/306031, Prudential Center, Concerts
Sweeney Todd, https://www.hellotickets.co.uk/us/new-york/theatre/sweeney-todd-tickets/310237, Luntfontanne Theatre, Theatre
US Women's Soccer Team vs Germany, https://www.hellotickets.co.uk/us/new-york/sports/us-womens-soccer-team-vs-germany-tickets/311445, Red Bull Arena  NJ, Sports
The Frozen Apple: UConn Huskies vs. Cornell Big Red, https://www.hellotickets.co.uk/us/new-york/sports/the-frozen-apple-uconn-huskies-vs-cornell-big-red-tickets/313090, Madison Square Garden, Sports
